# Melhores coberturas conhecidas no mundo, e melhores limites inferiores
# já provados, para o covering design C(v,k,t).
#
# Fonte: La Jolla Covering Repository, D. M. Gordon.
#   https://github.com/dmgordo/LJCR
# Licença: Creative Commons Attribution 4.0 (CC BY 4.0).
#
# Gerado por ferramentas/atualizar-referencia.py — não editar à mão.
#
# v,k,t,melhor_conhecido,limite_publicado
25,14,2,5,5
25,14,3,12,11
25,14,4,26,22
25,14,5,56,43
25,14,6,129,90
25,14,7,377,206
25,14,8,1091,538
25,15,2,4,4
25,15,3,10,9
25,15,4,21,15
25,15,5,44,32
25,15,6,99,59
25,15,7,201,124
25,15,8,482,255
25,16,2,4,4
25,16,3,8,8
25,16,4,17,13
25,16,5,32,24
25,16,6,70,38
25,16,7,144,82
25,16,8,284,141
25,17,2,3,3
25,17,3,6,6
25,17,4,11,10
25,17,5,20,17
25,17,6,39,30
25,17,7,81,52
25,17,8,150,83
25,18,2,3,3
25,18,3,5,5
25,18,4,9,9
25,18,5,16,14
25,18,6,26,21
25,18,7,47,32
25,18,8,91,52
25,19,2,3,3
25,19,3,4,4
25,19,4,7,7
25,19,5,11,11
25,19,6,18,15
25,19,7,28,24
25,19,8,44,32
25,20,2,3,3
25,20,3,4,4
25,20,4,5,5
25,20,5,9,9
25,20,6,13,13
25,20,7,19,17
25,20,8,27,24
25,21,2,3,3
25,21,3,4,4
25,21,4,5,5
25,21,5,6,6
25,21,6,9,9
25,21,7,12,12
25,21,8,16,16
25,22,2,3,3
25,22,3,4,4
25,22,4,5,5
25,22,5,6,6
25,22,6,7,7
25,22,7,8,8
25,22,8,11,11
25,23,2,3,3
25,23,3,4,4
25,23,4,5,5
25,23,5,6,6
25,23,6,7,7
25,23,7,8,8
25,23,8,9,9
25,24,2,3,3
25,24,3,4,4
25,24,4,5,5
25,24,5,6,6
25,24,6,7,7
25,24,7,8,8
25,24,8,9,9
26,3,2,113,113
26,4,2,59,59
26,4,3,650,650
26,5,2,37,37
26,5,3,260,260
26,5,4,3215,3120
26,6,2,24,24
26,6,3,130,130
26,6,4,1152,1040
26,6,5,11570,11050
26,7,2,19,19
26,7,3,94,86
26,7,4,551,465
26,7,5,3925,3436
26,7,6,37701,34621
26,8,2,13,13
26,8,3,64,59
26,8,4,297,244
26,8,5,1452,1300
26,8,6,10520,8359
26,8,7,97223,82225
26,9,2,12,12
26,9,3,39,38
26,9,4,188,156
26,9,5,819,624
26,9,6,4010,3224
26,9,7,26532,19347
26,10,2,10,10
26,10,3,33,29
26,10,4,118,89
26,10,5,490,325
26,10,6,2040,1365
26,10,7,10358,5492
26,10,8,57235,38374
26,11,2,8,8
26,11,3,26,24
26,11,4,82,67
26,11,5,268,190
26,11,6,1217,603
26,11,7,5030,2459
26,11,8,21341,10561
26,12,2,7,7
26,12,3,18,17
26,12,4,51,42
26,12,5,173,120
26,12,6,549,347
26,12,7,2292,1090
26,12,8,9033,4000
26,13,2,6,6
26,13,3,15,14
26,13,4,37,30
26,13,5,102,76
26,13,6,343,192
26,13,7,1076,576
26,13,8,3701,1660
26,14,2,6,6
26,14,3,13,12
26,14,4,28,25
26,14,5,60,52
26,14,6,151,108
26,14,7,511,259
26,14,8,1599,708
26,15,2,5,5
26,15,3,11,9
26,15,4,24,20
26,15,5,52,39
26,15,6,111,75
26,15,7,272,156
26,15,8,821,358
26,16,2,4,4
26,16,3,9,9
26,16,4,18,15
26,16,5,41,25
26,16,6,80,52
26,16,7,174,96
26,16,8,372,202
26,17,2,4,4
26,17,3,7,7
26,17,4,15,13
26,17,5,26,20
26,17,6,60,37
26,17,7,125,59
26,17,8,249,126
26,18,2,3,3
26,18,3,6,6
26,18,4,10,10
26,18,5,19,15
26,18,6,34,25
26,18,7,68,44
26,18,8,132,76
26,19,2,3,3
26,19,3,5,5
26,19,4,9,9
26,19,5,14,13
26,19,6,24,20
26,19,7,41,29
26,19,8,73,44
26,20,2,3,3
26,20,3,4,4
26,20,4,7,7
26,20,5,10,10
26,20,6,16,15
26,20,7,26,20
26,20,8,39,32
26,21,2,3,3
26,21,3,4,4
26,21,4,5,5
26,21,5,8,8
26,21,6,12,12
26,21,7,18,17
26,21,8,25,22
26,22,2,3,3
26,22,3,4,4
26,22,4,5,5
26,22,5,6,6
26,22,6,8,8
26,22,7,11,11
26,22,8,15,15
26,23,2,3,3
26,23,3,4,4
26,23,4,5,5
26,23,5,6,6
26,23,6,7,7
26,23,7,8,8
26,23,8,10,10
26,24,2,3,3
26,24,3,4,4
26,24,4,5,5
26,24,5,6,6
26,24,6,7,7
26,24,7,8,8
26,24,8,9,9
27,3,2,117,117
27,4,2,61,61
27,4,3,763,763
27,5,2,38,38
27,5,3,319,319
27,5,4,3551,3510
27,6,2,27,27
27,6,3,167,167
27,6,4,1170,1170
27,6,5,14693,14040
27,7,2,20,20
27,7,3,104,93
27,7,4,635,502
27,7,5,4614,4012
27,7,6,48856,42622
27,8,2,17,16
27,8,3,69,65
27,8,4,350,291
27,8,5,1961,1570
27,8,6,14380,11597
27,8,7,134853,116846
27,9,2,12,12
27,9,3,39,39
27,9,4,215,177
27,9,5,957,732
27,9,6,5323,3900
27,9,7,35865,25077
27,10,2,11,11
27,10,3,35,33
27,10,4,129,103
27,10,5,608,422
27,10,6,2563,1685
27,10,7,14093,8705
27,10,8,82882,52237
27,11,2,9,9
27,11,3,27,25
27,11,4,95,72
27,11,5,354,219
27,11,6,1415,799
27,11,7,6521,3351
27,11,8,30134,13481
27,12,2,7,7
27,12,3,22,18
27,12,4,63,54
27,12,5,208,151
27,12,6,763,428
27,12,7,3123,1357
27,12,8,13555,5533
27,13,2,7,7
27,13,3,15,15
27,13,4,42,36
27,13,5,125,88
27,13,6,443,250
27,13,7,1497,721
27,13,8,5492,2264
27,14,2,6,6
27,14,3,14,13
27,14,4,31,27
27,14,5,76,58
27,14,6,248,147
27,14,7,807,371
27,14,8,2425,1111
27,15,2,5,5
27,15,3,11,11
27,15,4,26,22
27,15,5,57,45
27,15,6,126,94
27,15,7,380,195
27,15,8,1181,467
27,16,2,5,5
27,16,3,10,9
27,16,4,22,16
27,16,5,46,34
27,16,6,101,66
27,16,7,233,127
27,16,8,586,264
27,17,2,4,4
27,17,3,9,9
27,17,4,18,15
27,17,5,36,24
27,17,6,75,40
27,17,7,144,83
27,17,8,314,153
27,18,2,3,3
27,18,3,7,7
27,18,4,12,11
27,18,5,25,20
27,18,6,39,30
27,18,7,102,56
27,18,8,212,89
27,19,2,3,3
27,19,3,6,6
27,19,4,10,10
27,19,5,17,15
27,19,6,27,22
27,19,7,49,36
27,19,8,113,63
27,20,2,3,3
27,20,3,5,5
27,20,4,8,8
27,20,5,13,13
27,20,6,22,18
27,20,7,36,27
27,20,8,59,40
27,21,2,3,3
27,21,3,4,4
27,21,4,6,6
27,21,5,9,9
27,21,6,15,13
27,21,7,24,20
27,21,8,35,26
27,22,2,3,3
27,22,3,4,4
27,22,4,5,5
27,22,5,8,8
27,22,6,12,12
27,22,7,16,15
27,22,8,23,21
27,23,2,3,3
27,23,3,4,4
27,23,4,5,5
27,23,5,6,6
27,23,6,8,8
27,23,7,11,11
27,23,8,14,14
27,24,2,3,3
27,24,3,4,4
27,24,4,5,5
27,24,5,6,6
27,24,6,7,7
27,24,7,8,8
27,24,8,9,9
28,3,2,131,131
28,4,2,63,63
28,4,3,819,819
28,5,2,40,40
28,5,3,359,342
28,5,4,4303,4273
28,6,2,28,28
28,6,3,185,178
28,6,4,1489,1489
28,6,5,16744,16380
28,7,2,22,21
28,7,3,120,108
28,7,4,793,668
28,7,5,4680,4680
28,7,6,63538,56160
28,8,2,17,17
28,8,3,73,70
28,8,4,426,326
28,8,5,2400,1757
28,8,6,17794,14042
28,8,7,181771,149177
28,9,2,14,14
28,9,3,56,50
28,9,4,261,203
28,9,5,1216,906
28,9,6,7154,4885
28,9,7,50134,36080
28,10,2,11,11
28,10,3,36,34
28,10,4,154,110
28,10,5,738,496
28,10,6,2898,2050
28,10,7,19068,10920
28,10,8,116218,70216
28,11,2,10,10
28,11,3,31,28
28,11,4,104,84
28,11,5,424,263
28,11,6,1847,1075
28,11,7,8847,4290
28,11,8,43736,22159
28,12,2,7,7
28,12,3,24,21
28,12,4,76,59
28,12,5,256,168
28,12,6,946,511
28,12,7,4062,1865
28,12,8,18949,7819
28,13,2,7,7
28,13,3,19,16
28,13,4,54,39
28,13,5,169,117
28,13,6,606,326
28,13,7,2019,922
28,13,8,7688,2923
28,14,2,6,6
28,14,3,15,14
28,14,4,31,30
28,14,5,88,72
28,14,6,322,176
28,14,7,1056,500
28,14,8,3804,1442
28,15,2,6,6
28,15,3,13,12
28,15,4,29,25
28,15,5,62,51
28,15,6,187,109
28,15,7,588,275
28,15,8,1776,693
28,16,2,5,5
28,16,3,11,9
28,16,4,24,20
28,16,5,52,39
28,16,6,114,79
28,16,7,305,165
28,16,8,865,342
28,17,2,4,4
28,17,3,10,9
28,17,4,21,15
28,17,5,44,27
28,17,6,89,56
28,17,7,197,109
28,17,8,448,210
28,18,2,4,4
28,18,3,8,8
28,18,4,16,14
28,18,5,32,24
28,18,6,68,38
28,18,7,128,63
28,18,8,260,130
28,19,2,3,3
28,19,3,6,6
28,19,4,12,11
28,19,5,23,17
28,19,6,39,30
28,19,7,86,45
28,19,8,181,83
28,20,2,3,3
28,20,3,5,5
28,20,4,9,9
28,20,5,14,14
28,20,6,25,21
28,20,7,42,31
28,20,8,87,51
28,21,2,3,3
28,21,3,4,4
28,21,4,8,8
28,21,5,12,11
28,21,6,20,18
28,21,7,30,24
28,21,8,51,36
28,22,2,3,3
28,22,3,4,4
28,22,4,6,6
28,22,5,9,9
28,22,6,14,13
28,22,7,21,17
28,22,8,33,26
28,23,2,3,3
28,23,3,4,4
28,23,4,5,5
28,23,5,7,7
28,23,6,11,11
28,23,7,15,15
28,23,8,21,19
28,24,2,3,3
28,24,3,4,4
28,24,4,5,5
28,24,5,6,6
28,24,6,7,7
28,24,7,10,10
28,24,8,13,13
29,3,2,136,136
29,4,2,73,73
29,4,3,950,950
29,5,2,43,42
29,5,3,413,366
29,5,4,4955,4751
29,6,2,30,29
29,6,3,217,194
29,6,4,1802,1653
29,6,5,21047,20653
29,7,2,23,22
29,7,3,132,116
29,7,4,880,738
29,7,5,6169,6169
29,7,6,78716,67860
29,8,2,18,18
29,8,3,86,77
29,8,4,504,392
29,8,5,3127,2422
29,8,6,22463,16965
29,9,2,14,14
29,9,3,59,55
29,9,4,293,226
29,9,5,1558,1051
29,9,6,9256,5662
29,9,7,66076,45247
29,10,2,12,12
29,10,3,42,41
29,10,4,186,145
29,10,5,869,589
29,10,6,4064,2628
29,10,7,25791,14167
29,10,8,165841,104632
29,11,2,10,10
29,11,3,33,29
29,11,4,115,90
29,11,5,544,291
29,11,6,2333,1308
29,11,7,11073,5405
29,11,8,60612,28790
29,12,2,9,9
29,12,3,27,25
29,12,4,89,68
29,12,5,295,203
29,12,6,1362,636
29,12,7,5672,2598
29,12,8,27463,10368
29,13,2,7,7
29,13,3,21,17
29,13,4,59,47
29,13,5,218,132
29,13,6,738,375
29,13,7,2372,1141
29,13,8,11413,4161
29,14,2,7,7
29,14,3,15,15
29,14,4,43,34
29,14,5,137,81
29,14,6,417,243
29,14,7,1547,676
29,14,8,5086,1910
29,15,2,6,6
29,15,3,14,14
29,15,4,31,28
29,15,5,67,58
29,15,6,242,140
29,15,7,800,341
29,15,8,2614,967
29,16,2,6,6
29,16,3,12,11
29,16,4,27,22
29,16,5,59,46
29,16,6,145,95
29,16,7,435,198
29,16,8,1359,499
29,17,2,5,5
29,17,3,11,9
29,17,4,23,16
29,17,5,49,35
29,17,6,106,67
29,17,7,231,135
29,17,8,653,282
29,18,2,4,4
29,18,3,9,9
29,18,4,18,15
29,18,5,39,25
29,18,6,80,44
29,18,7,168,91
29,18,8,370,176
29,19,2,4,4
29,19,3,7,7
29,19,4,15,13
29,19,5,30,22
29,19,6,60,37
29,19,7,113,58
29,19,8,226,97
29,20,2,3,3
29,20,3,6,6
29,20,4,11,10
29,20,5,21,16
29,20,6,37,25
29,20,7,73,44
29,20,8,154,66
29,21,2,3,3
29,21,3,5,5
29,21,4,9,9
29,21,5,14,13
29,21,6,22,20
29,21,7,40,29
29,21,8,64,43
29,22,2,3,3
29,22,3,4,4
29,22,4,7,7
29,22,5,12,11
29,22,6,18,15
29,22,7,28,24
29,22,8,45,32
29,23,2,3,3
29,23,3,4,4
29,23,4,6,6
29,23,5,9,9
29,23,6,13,13
29,23,7,19,17
29,23,8,30,22
29,24,2,3,3
29,24,3,4,4
29,24,4,5,5
29,24,5,7,7
29,24,6,10,10
29,24,7,15,14
29,24,8,20,19
30,3,2,150,150
30,4,2,75,75
30,4,3,1020,1020
30,5,2,48,48
30,5,3,459,438
30,5,4,5894,5700
30,6,2,31,31
30,6,3,225,210
30,6,4,2171,1830
30,6,5,25015,23755
30,7,2,25,24
30,7,3,142,125
30,7,4,1067,832
30,7,5,7780,7085
30,7,6,99705,88513
30,8,2,19,19
30,8,3,93,83
30,8,4,559,435
30,8,5,3763,2768
30,8,6,28599,23134
30,9,2,15,15
30,9,3,66,60
30,9,4,345,257
30,9,5,1984,1307
30,9,6,11826,8074
30,9,7,88420,56550
30,10,2,13,13
30,10,3,46,42
30,10,4,209,165
30,10,5,1096,678
30,10,6,5284,3153
30,10,7,32977,16986
30,11,2,11,11
30,11,3,37,33
30,11,4,133,112
30,11,5,634,396
30,11,6,2879,1607
30,11,7,14815,7168
30,11,8,85697,38638
30,12,2,9,9
30,12,3,30,25
30,12,4,96,73
30,12,5,349,225
30,12,6,1660,728
30,12,7,6847,3270
30,12,8,33495,13513
30,13,2,8,8
30,13,3,24,21
30,13,4,73,58
30,13,5,252,157
30,13,6,979,469
30,13,7,3627,1468
30,13,8,16376,5996
30,14,2,7,7
30,14,3,15,15
30,14,4,48,37
30,14,5,162,101
30,14,6,572,283
30,14,7,1805,804
30,14,8,7323,2445
30,15,2,6,6
30,15,3,15,14
30,15,4,31,30
30,15,5,94,68
30,15,6,330,162
30,15,7,1062,486
30,15,8,3534,1352
30,16,2,6,6
30,16,3,13,12
30,16,4,29,27
30,16,5,62,53
30,16,6,176,109
30,16,7,610,263
30,16,8,1801,640
30,17,2,5,5
30,17,3,11,11
30,17,4,26,21
30,17,5,56,39
30,17,6,121,82
30,17,7,340,168
30,17,8,1017,350
30,18,2,4,4
30,18,3,10,9
30,18,4,20,15
30,18,5,42,27
30,18,6,90,59
30,18,7,200,112
30,18,8,536,225
30,19,2,4,4
30,19,3,8,8
30,19,4,17,15
30,19,5,37,24
30,19,6,73,40
30,19,7,149,70
30,19,8,311,144
30,20,2,3,3
30,20,3,6,6
30,20,4,13,11
30,20,5,26,20
30,20,6,51,33
30,20,7,96,56
30,20,8,200,87
30,21,2,3,3
30,21,3,6,6
30,21,4,10,10
30,21,5,20,15
30,21,6,31,24
30,21,7,62,36
30,21,8,119,63
30,22,2,3,3
30,22,3,5,5
30,22,4,8,8
30,22,5,13,13
30,22,6,21,18
30,22,7,30,28
30,22,8,55,40
30,23,2,3,3
30,23,3,4,4
30,23,4,7,7
30,23,5,11,10
30,23,6,17,15
30,23,7,26,20
30,23,8,41,32
30,24,2,3,3
30,24,3,4,4
30,24,4,5,5
30,24,5,8,8
30,24,6,12,12
30,24,7,18,17
30,24,8,27,22
31,3,2,155,155
31,4,2,78,78
31,4,3,1165,1163
31,5,2,50,50
31,5,3,504,465
31,5,4,6503,6324
31,6,2,31,31
31,6,3,273,248
31,6,4,2565,2263
31,6,5,30848,29450
31,7,2,26,26
31,7,3,153,138
31,7,4,1122,930
31,7,5,9927,8105
31,7,6,123681,105201
31,8,2,20,20
31,8,3,104,93
31,8,4,615,485
31,8,5,4502,3224
31,8,6,36091,27455
31,9,2,17,16
31,9,3,73,66
31,9,4,385,286
31,9,5,2350,1499
31,9,6,15244,9535
31,9,7,115291,79684
31,10,2,13,13
31,10,3,48,47
31,10,4,255,186
31,10,5,1335,797
31,10,6,6761,4052
31,10,7,44580,25030
31,11,2,12,12
31,11,3,39,37
31,11,4,153,119
31,11,5,783,465
31,11,6,3658,1911
31,11,7,17967,8886
31,11,8,114406,47870
31,12,2,10,10
31,12,3,32,29
31,12,4,111,86
31,12,5,429,290
31,12,6,2060,1023
31,12,7,9650,4152
31,12,8,47802,18518
31,13,2,8,8
31,13,3,26,22
31,13,4,80,60
31,13,5,287,175
31,13,6,1233,537
31,13,7,4660,1736
31,13,8,21851,7798
31,14,2,7,7
31,14,3,21,18
31,14,4,60,47
31,14,5,189,129
31,14,6,706,348
31,14,7,2623,1039
31,14,8,10243,3251
31,15,2,7,7
31,15,3,15,15
31,15,4,31,31
31,15,5,123,77
31,15,6,442,209
31,15,7,1307,585
31,15,8,4343,1662
31,16,2,6,6
31,16,3,14,14
31,16,4,30,28
31,16,5,62,59
31,16,6,262,132
31,16,7,814,314
31,16,8,2628,942
31,17,2,6,6
31,17,3,12,11
31,17,4,28,22
31,17,5,59,50
31,17,6,133,97
31,17,7,464,201
31,17,8,1428,480
31,18,2,5,5
31,18,3,11,9
31,18,4,24,19
31,18,5,52,37
31,18,6,110,68
31,18,7,261,142
31,18,8,778,290
31,19,2,4,4
31,19,3,9,9
31,19,4,19,15
31,19,5,40,25
31,19,6,84,45
31,19,7,171,97
31,19,8,406,183
31,20,2,4,4
31,20,3,8,8
31,20,4,16,13
31,20,5,32,24
31,20,6,68,38
31,20,7,131,62
31,20,8,275,109
31,21,2,3,3
31,21,3,6,6
31,21,4,12,10
31,21,5,23,17
31,21,6,45,30
31,21,7,90,49
31,21,8,173,83
31,22,2,3,3
31,22,3,6,6
31,22,4,10,10
31,22,5,18,15
31,22,6,29,22
31,22,7,51,34
31,22,8,96,51
31,23,2,3,3
31,23,3,5,5
31,23,4,8,8
31,23,5,13,11
31,23,6,20,18
31,23,7,29,25
31,23,8,45,38
31,24,2,3,3
31,24,3,4,4
31,24,4,7,7
31,24,5,11,10
31,24,6,17,15
31,24,7,24,20
31,24,8,38,26
32,3,2,171,171
32,4,2,88,88
32,4,3,1240,1240
32,5,2,52,52
32,5,3,568,500
32,5,4,7635,7444
32,6,2,38,38
32,6,3,300,267
32,6,4,2809,2480
32,6,5,35216,33728
32,7,2,28,28
32,7,3,165,143
32,7,4,1387,1135
32,7,5,12274,10346
32,7,6,154453,134629
32,8,2,20,20
32,8,3,106,104
32,8,4,620,552
32,8,5,4652,3720
32,8,6,45890,32420
32,9,2,18,17
32,9,3,77,72
32,9,4,428,331
32,9,5,2650,1725
32,9,6,19046,11464
32,9,7,150678,97618
32,10,2,14,14
32,10,3,60,52
32,10,4,297,212
32,10,5,1624,916
32,10,6,8967,4797
32,10,7,57847,30512
32,11,2,12,12
32,11,3,40,38
32,11,4,176,137
32,11,5,972,542
32,11,6,4831,2319
32,11,7,24355,11788
32,11,8,157895,72815
32,12,2,10,10
32,12,3,32,32
32,12,4,123,99
32,12,5,543,318
32,12,6,2692,1240
32,12,7,11973,5096
32,12,8,48939,23696
32,13,2,9,9
32,13,3,29,25
32,13,4,96,72
32,13,5,342,212
32,13,6,1582,714
32,13,7,5858,2519
32,13,8,30164,10221
32,14,2,7,7
32,14,3,22,19
32,14,4,67,51
32,14,5,239,138
32,14,6,912,400
32,14,7,3315,1228
32,14,8,13666,3968
32,15,2,7,7
32,15,3,18,15
32,15,4,49,39
32,15,5,154,101
32,15,6,534,276
32,15,7,1922,743
32,15,8,6892,2217
32,16,2,6,6
32,16,3,14,14
32,16,4,30,30
32,16,5,62,62
32,16,6,286,154
32,16,7,1020,418
32,16,8,3302,1170
32,17,2,6,6
32,17,3,14,12
32,17,4,29,27
32,17,5,62,53
32,17,6,192,112
32,17,7,625,249
32,17,8,1867,592
32,18,2,5,5
32,18,3,11,11
32,18,4,26,21
32,18,5,56,40
32,18,6,119,89
32,18,7,369,173
32,18,8,1092,358
32,19,2,5,5
32,19,3,11,9
32,19,4,22,16
32,19,5,47,32
32,19,6,100,63
32,19,7,225,115
32,19,8,608,240
32,20,2,4,4
32,20,3,8,8
32,20,4,18,15
32,20,5,34,24
32,20,6,76,40
32,20,7,156,72
32,20,8,350,156
32,21,2,4,4
32,21,3,7,7
32,21,4,15,13
32,21,5,30,20
32,21,6,61,37
32,21,7,119,58
32,21,8,226,95
32,22,2,3,3
32,22,3,6,6
32,22,4,11,10
32,22,5,20,15
32,22,6,39,25
32,22,7,74,44
32,22,8,150,72
32,23,2,3,3
32,23,3,5,5
32,23,4,9,9
32,23,5,16,14
32,23,6,27,21
32,23,7,45,31
32,23,8,81,48
32,24,2,3,3
32,24,3,4,4
32,24,4,7,7
32,24,5,12,11
32,24,6,19,15
32,24,7,28,24
32,24,8,43,34
33,3,2,176,176
33,4,2,91,91
33,4,3,1411,1411
33,5,2,55,54
33,5,3,627,582
33,5,4,8472,8184
33,6,2,39,39
33,6,3,333,286
33,6,4,3310,2750
33,6,5,42805,40942
33,7,2,30,29
33,7,3,191,180
33,7,4,1624,1259
33,7,5,14954,11692
33,8,2,24,22
33,8,3,127,116
33,8,4,785,590
33,8,5,6038,4682
33,8,6,57542,42678
33,9,2,18,18
33,9,3,80,74
33,9,4,461,382
33,9,5,3251,2024
33,9,6,23348,13640
33,10,2,15,14
33,10,3,66,57
33,10,4,349,238
33,10,5,1935,1093
33,10,6,11213,5693
33,10,7,75738,37832
33,11,2,13,13
33,11,3,46,42
33,11,4,223,156
33,11,5,1147,636
33,11,6,5917,2748
33,11,7,32167,14391
33,12,2,11,11
33,12,3,37,33
33,12,4,143,105
33,12,5,667,377
33,12,6,3197,1491
33,12,7,16090,6378
33,12,8,72040,32417
33,13,2,10,10
33,13,3,31,26
33,13,4,103,82
33,13,5,436,252
33,13,6,1990,808
33,13,7,8235,3148
33,13,8,39300,12936
33,14,2,8,8
33,14,3,26,22
33,14,4,79,59
33,14,5,274,170
33,14,6,1123,500
33,14,7,4504,1683
33,14,8,18177,5938
33,15,2,7,7
33,15,3,20,17
33,15,4,57,42
33,15,5,180,113
33,15,6,676,304
33,15,7,2495,880
33,15,8,8931,2702
33,16,2,7,7
33,16,3,16,15
33,16,4,39,32
33,16,5,111,81
33,16,6,416,209
33,16,7,1390,570
33,16,8,5211,1533
33,17,2,6,6
33,17,3,14,14
33,17,4,30,28
33,17,5,62,59
33,17,6,224,124
33,17,7,849,300
33,17,8,2691,812
33,18,2,6,6
33,18,3,11,11
33,18,4,28,22
33,18,5,61,50
33,18,6,161,98
33,18,7,520,206
33,18,8,1564,457
33,19,2,5,5
33,19,3,11,9
33,19,4,25,20
33,19,5,51,37
33,19,6,112,70
33,19,7,302,155
33,19,8,860,301
33,20,2,4,4
33,20,3,10,9
33,20,4,22,15
33,20,5,43,27
33,20,6,87,53
33,20,7,216,104
33,20,8,525,190
33,21,2,4,4
33,21,3,8,8
33,21,4,17,13
33,21,5,34,24
33,21,6,71,38
33,21,7,143,63
33,21,8,295,114
33,22,2,3,3
33,22,3,7,7
33,22,4,14,11
33,22,5,27,20
33,22,6,52,31
33,22,7,99,56
33,22,8,204,87
33,23,2,3,3
33,23,3,6,6
33,23,4,10,10
33,23,5,19,15
33,23,6,34,22
33,23,7,62,36
33,23,8,121,64
33,24,2,3,3
33,24,3,5,5
33,24,4,9,9
33,24,5,15,13
33,24,6,25,20
33,24,7,41,30
33,24,8,69,43
34,3,2,193,193
34,4,2,94,94
34,4,3,1496,1496
34,5,2,62,62
34,5,3,689,619
34,5,4,9870,9595
34,6,2,40,40
34,6,3,364,306
34,6,4,3855,3298
34,6,5,50835,46376
34,7,2,31,30
34,7,3,209,190
34,7,4,1949,1390
34,7,5,18163,13358
34,8,2,25,23
34,8,3,139,124
34,8,4,920,765
34,8,5,7391,5351
34,8,6,72225,49691
34,9,2,19,19
34,9,3,95,84
34,9,4,565,439
34,9,5,3999,2229
34,9,6,29367,17688
34,10,2,16,15
34,10,3,68,62
34,10,4,383,252
34,10,5,2219,1299
34,10,6,13614,6882
34,10,7,96282,46376
34,11,2,13,13
34,11,3,51,44
34,11,4,249,177
34,11,5,1378,736
34,11,6,7387,3379
34,11,7,41800,17597
34,12,2,12,12
34,12,3,39,37
34,12,4,157,119
34,12,5,807,442
34,12,6,4136,1802
34,12,7,20823,7786
34,12,8,101015,40775
34,13,2,10,10
34,13,3,33,29
34,13,4,112,87
34,13,5,510,275
34,13,6,2502,986
34,13,7,10646,3900
34,13,8,51739,16681
34,14,2,9,9
34,14,3,27,25
34,14,4,90,64
34,14,5,341,200
34,14,6,1437,612
34,14,7,5926,1963
34,14,8,25005,7646
34,15,2,7,7
34,15,3,23,19
34,15,4,63,50
34,15,5,222,134
34,15,6,863,386
34,15,7,3337,1134
34,15,8,12564,3815
34,16,2,7,7
34,16,3,17,15
34,16,4,45,37
34,16,5,129,90
34,16,6,517,241
34,16,7,1926,646
34,16,8,6613,1870
34,17,2,6,6
34,17,3,15,14
34,17,4,34,30
34,17,5,80,64
34,17,6,318,162
34,17,7,1152,418
34,17,8,3610,1140
34,18,2,6,6
34,18,3,13,12
34,18,4,28,27
34,18,5,62,53
34,18,6,178,112
34,18,7,652,235
34,18,8,2064,567
34,19,2,5,5
34,19,3,11,11
34,19,4,27,21
34,19,5,58,40
34,19,6,144,90
34,19,7,413,176
34,19,8,1210,369
34,20,2,5,5
34,20,3,11,9
34,20,4,23,16
34,20,5,45,34
34,20,6,102,63
34,20,7,263,119
34,20,8,713,264
34,21,2,4,4
34,21,3,9,9
34,21,4,20,15
34,21,5,40,25
34,21,6,81,44
34,21,7,183,86
34,21,8,432,169
34,22,2,4,4
34,22,3,7,7
34,22,4,15,13
34,22,5,30,21
34,22,6,58,38
34,22,7,119,59
34,22,8,255,98
34,23,2,3,3
34,23,3,6,6
34,23,4,12,11
34,23,5,24,17
34,23,6,46,30
34,23,7,88,46
34,23,8,176,83
34,24,2,3,3
34,24,3,6,6
34,24,4,10,10
34,24,5,17,15
34,24,6,30,22
34,24,7,54,32
34,24,8,103,51
35,3,2,199,199
35,4,2,105,105
35,4,3,1689,1689
35,5,2,63,63
35,5,3,733,658
35,5,4,10472,10472
35,6,2,42,41
35,6,3,405,362
35,6,4,4419,3611
35,6,5,59410,55971
35,7,2,32,31
35,7,3,233,200
35,7,4,2176,1530
35,7,5,20558,16490
35,8,2,26,24
35,8,3,149,132
35,8,4,1116,832
35,8,5,9287,6082
35,8,6,89795,58442
35,9,2,20,20
35,9,3,103,90
35,9,4,628,483
35,9,5,4774,2975
35,9,6,35785,20810
35,10,2,17,17
35,10,3,77,67
35,10,4,444,294
35,10,5,2542,1537
35,10,6,16632,7802
35,10,7,117868,61908
35,11,2,13,13
35,11,3,56,48
35,11,4,280,198
35,11,5,1581,802
35,11,6,9055,4134
35,11,7,53905,21898
35,12,2,12,12
35,12,3,40,38
35,12,4,173,129
35,12,5,966,517
35,12,6,5032,2147
35,12,7,25487,9856
35,12,8,137657,51325
35,13,2,11,11
35,13,3,36,33
35,13,4,132,100
35,13,5,627,321
35,13,6,3121,1190
35,13,7,13782,4852
35,13,8,65637,20963
35,14,2,10,10
35,14,3,30,25
35,14,4,100,73
35,14,5,411,218
35,14,6,1771,688
35,14,7,7697,2465
35,14,8,32422,9750
35,15,2,7,7
35,15,3,25,21
35,15,4,70,59
35,15,5,274,150
35,15,6,1012,467
35,15,7,4414,1428
35,15,8,16579,4581
35,16,2,7,7
35,16,3,20,17
35,16,4,57,42
35,16,5,158,110
35,16,6,628,294
35,16,7,2462,845
35,16,8,9157,2481
35,17,2,7,7
35,17,3,15,15
35,17,4,38,32
35,17,5,109,77
35,17,6,378,186
35,17,7,1487,497
35,17,8,4707,1330
35,18,2,6,6
35,18,3,14,14
35,18,4,32,28
35,18,5,69,59
