# Melhores coberturas conhecidas no mundo, e melhores limites inferiores
# já provados, para o covering design C(v,k,t).
#
# Fonte: La Jolla Covering Repository, D. M. Gordon.
#   https://github.com/dmgordo/LJCR
# Licença: Creative Commons Attribution 4.0 (CC BY 4.0).
#
# Gerado por ferramentas/atualizar-referencia.py — não editar à mão.
#
# v,k,t,melhor_conhecido,limite_publicado
15,11,2,3,3
15,11,3,5,5
15,11,4,8,8
15,11,5,13,13
15,11,6,21,21
15,11,7,42,37
15,11,8,80,74
15,12,2,3,3
15,12,3,4,4
15,12,4,5,5
15,12,5,9,9
15,12,6,13,13
15,12,7,18,18
15,12,8,30,30
15,13,2,3,3
15,13,3,4,4
15,13,4,5,5
15,13,5,6,6
15,13,6,7,7
15,13,7,9,9
15,13,8,12,12
15,14,2,3,3
15,14,3,4,4
15,14,4,5,5
15,14,5,6,6
15,14,6,7,7
15,14,7,8,8
15,14,8,9,9
16,3,2,43,43
16,4,2,20,20
16,4,3,140,140
16,5,2,15,15
16,5,3,65,61
16,5,4,405,397
16,6,2,10,10
16,6,3,38,35
16,6,4,152,144
16,6,5,808,731
16,7,2,8,8
16,7,3,24,23
16,7,4,76,69
16,7,5,283,213
16,7,6,1328,1253
16,8,2,6,6
16,8,3,14,14
16,8,4,30,30
16,8,5,115,104
16,8,6,390,322
16,8,7,1636,1492
16,9,2,5,5
16,9,3,11,11
16,9,4,26,24
16,9,5,61,52
16,9,6,169,134
16,9,7,518,395
16,9,8,1757,1634
16,10,2,4,4
16,10,3,8,8
16,10,4,18,16
16,10,5,34,31
16,10,6,76,63
16,10,7,165,132
16,10,8,448,352
16,11,2,3,3
16,11,3,6,6
16,11,4,12,12
16,11,5,22,18
16,11,6,44,36
16,11,7,80,62
16,11,8,167,114
16,12,2,3,3
16,12,3,4,4
16,12,4,7,7
16,12,5,12,12
16,12,6,19,19
16,12,7,28,28
16,12,8,59,56
16,13,2,3,3
16,13,3,4,4
16,13,4,5,5
16,13,5,8,8
16,13,6,12,12
16,13,7,16,16
16,13,8,24,24
16,14,2,3,3
16,14,3,4,4
16,14,4,5,5
16,14,5,6,6
16,14,6,7,7
16,14,7,8,8
16,14,8,11,11
16,15,2,3,3
16,15,3,4,4
16,15,4,5,5
16,15,5,6,6
16,15,6,7,7
16,15,7,8,8
16,15,8,9,9
17,3,2,46,46
17,4,2,26,26
17,4,3,183,183
17,5,2,16,16
17,5,3,68,68
17,5,4,491,477
17,6,2,12,12
17,6,3,44,43
17,6,4,188,173
17,6,5,1213,1125
17,7,2,9,9
17,7,3,27,25
17,7,4,99,85
17,7,5,398,351
17,7,6,2048,1776
17,8,2,7,7
17,8,3,18,17
17,8,4,53,49
17,8,5,177,147
17,8,6,615,453
17,8,7,2956,2663
17,9,2,6,6
17,9,3,13,13
17,9,4,28,27
17,9,5,79,59
17,9,6,242,197
17,9,7,841,609
17,9,8,3239,2819
17,10,2,5,5
17,10,3,11,11
17,10,4,23,19
17,10,5,48,41
17,10,6,118,89
17,10,7,302,228
17,10,8,947,672
17,11,2,4,4
17,11,3,7,7
17,11,4,15,13
17,11,5,30,25
17,11,6,58,48
17,11,7,125,98
17,11,8,282,204
17,12,2,3,3
17,12,3,6,6
17,12,4,10,10
17,12,5,17,17
17,12,6,34,26
17,12,7,64,51
17,12,8,122,88
17,13,2,3,3
17,13,3,4,4
17,13,4,7,7
17,13,5,11,11
17,13,6,17,17
17,13,7,26,25
17,13,8,42,37
17,14,2,3,3
17,14,3,4,4
17,14,4,5,5
17,14,5,7,7
17,14,6,11,11
17,14,7,15,15
17,14,8,20,20
17,15,2,3,3
17,15,3,4,4
17,15,4,5,5
17,15,5,6,6
17,15,6,7,7
17,15,7,8,8
17,15,8,10,10
17,16,2,3,3
17,16,3,4,4
17,16,4,5,5
17,16,5,6,6
17,16,6,7,7
17,16,7,8,8
17,16,8,9,9
18,3,2,54,54
18,4,2,27,27
18,4,3,207,207
18,5,2,18,18
18,5,3,94,94
18,5,4,664,659
18,6,2,12,12
18,6,3,48,48
18,6,4,236,205
18,6,5,1546,1431
18,7,2,10,10
18,7,3,33,31
18,7,4,126,111
18,7,5,548,445
18,7,6,3260,2893
18,8,2,7,7
18,8,3,21,21
18,8,4,66,57
18,8,5,250,192
18,8,6,916,790
18,8,7,4684,3996
18,9,2,6,6
18,9,3,16,14
18,9,4,38,34
18,9,5,113,98
18,9,6,395,294
18,9,7,1250,906
18,9,8,6098,5326
18,10,2,5,5
18,10,3,12,11
18,10,4,26,24
18,10,5,54,49
18,10,6,153,107
18,10,7,498,355
18,10,8,1550,1097
18,11,2,4,4
18,11,3,10,9
18,11,4,19,18
18,11,5,42,32
18,11,6,88,68
18,11,7,208,146
18,11,8,532,374
18,12,2,3,3
18,12,3,6,6
18,12,4,12,12
18,12,5,24,20
18,12,6,48,38
18,12,7,96,72
18,12,8,206,147
18,13,2,3,3
18,13,3,5,5
18,13,4,9,9
18,13,5,15,15
18,13,6,28,24
18,13,7,50,36
18,13,8,92,71
18,14,2,3,3
18,14,3,4,4
18,14,4,6,6
18,14,5,9,9
18,14,6,15,15
18,14,7,24,24
18,14,8,34,34
18,15,2,3,3
18,15,3,4,4
18,15,4,5,5
18,15,5,6,6
18,15,6,10,10
18,15,7,14,14
18,15,8,18,18
18,16,2,3,3
18,16,3,4,4
18,16,4,5,5
18,16,5,6,6
18,16,6,7,7
18,16,7,8,8
18,16,8,9,9
18,17,2,3,3
18,17,3,4,4
18,17,4,5,5
18,17,5,6,6
18,17,6,7,7
18,17,7,8,8
18,17,8,9,9
19,3,2,57,57
19,4,2,31,31
19,4,3,258,257
19,5,2,19,19
19,5,3,108,103
19,5,4,846,787
19,6,2,15,15
19,6,3,60,57
19,6,4,325,298
19,6,5,2175,2087
19,7,2,11,11
19,7,3,35,33
19,7,4,151,131
19,7,5,703,557
19,7,6,4414,3885
19,8,2,9,9
19,8,3,27,24
19,8,4,84,74
19,8,5,335,264
19,8,6,1378,1057
19,8,7,7915,6871
19,9,2,7,7
19,9,3,17,16
19,9,4,48,45
19,9,5,149,121
19,9,6,581,406
19,9,7,2165,1668
19,9,8,10518,8436
19,10,2,6,6
19,10,3,14,13
19,10,4,32,27
19,10,5,83,65
19,10,6,230,187
19,10,7,821,559
19,10,8,2458,1722
19,11,2,5,5
19,11,3,11,9
19,11,4,23,19
19,11,5,49,42
19,11,6,102,85
19,11,7,270,185
19,11,8,895,614
19,12,2,4,4
19,12,3,9,9
19,12,4,17,15
19,12,5,37,29
19,12,6,72,51
19,12,7,151,108
19,12,8,357,232
19,13,2,3,3
19,13,3,6,6
19,13,4,11,11
19,13,5,21,18
19,13,6,42,30
19,13,7,77,56
19,13,8,154,106
19,14,2,3,3
19,14,3,5,5
19,14,4,9,9
19,14,5,14,14
19,14,6,22,21
19,14,7,40,33
19,14,8,74,49
19,15,2,3,3
19,15,3,4,4
19,15,4,6,6
19,15,5,9,9
19,15,6,13,13
19,15,7,19,19
19,15,8,31,31
19,16,2,3,3
19,16,3,4,4
19,16,4,5,5
19,16,5,6,6
19,16,6,9,9
19,16,7,13,13
19,16,8,17,17
19,17,2,3,3
19,17,3,4,4
19,17,4,5,5
19,17,5,6,6
19,17,6,7,7
19,17,7,8,8
19,17,8,9,9
19,18,2,3,3
19,18,3,4,4
19,18,4,5,5
19,18,5,6,6
19,18,6,7,7
19,18,7,8,8
19,18,8,9,9
20,3,2,67,67
20,4,2,35,35
